1,joel,jimenez,8493537714
2,Juana,Baez,8494017714
3,Ampara,JIMENEZ,8295352525
4,ANGELITO,JOSE,8095266464
5,BEATRIZ,ESPINAL,8493537714
6,ELI,BAEZ,8494017714
7,ELINA,PLACENIA,8295352525
8,MAICOL,PLACIDO,8095266464
9,ORLANDO,BAEZ,8493537714
10,ANGELITO,JIMENEZ,8494017714
11,JUAN,SOTO,8295352525
12,PEDRO,LEBRON,8095266464
13,CARLOS,JIMENEZ,8493537714
14,JOSE,JOSE,8494017714
15,DANIEL,ESPINAL,8295352525
16,FRANCI,BAEZ,8095266464
17,DANIELA,PLACENIA,8493537714
18,GUILLERMO,PLACIDO,8494017714
19,MICHAEL,BAEZ,8295352525
20,BRYAN,JIMENEZ,8095266464
21,MARITZA,SOTO,8493537714
22,KAIL,JIMENEZ,8494017714
23,ABEL,JOSE,8295352525
24,JOSEFA,ESPINAL,8095266464
25,GABRIEL,BAEZ,8493537714
26,GABRIELA,PLACENIA,8494017714
27,MANUEL,PLACIDO,8295352525
28,PITA,BAEZ,8095266464
29,LIL,JIMENEZ,8493537714
30,KAIN,SOTO,8494017714
